Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Analog Channels,,
Model:,MSO-X 4154A,,Time (s),1 (VOLT),
,,,-1.7878125E-07,-0.000133891197037883,
,,,-1.7818125E-07,0,
,,,-1.7758125E-07,-0.000133891197037883,
,,,-1.7698125E-07,0,
,,,-1.7638125E-07,-0.000133891197037883,
,,,-1.7578125E-07,-0.000133891197037883,
,,,-1.7518125E-07,-0.000267782394075766,
,,,-1.7458125E-07,-0.000267782394075766,
,,,-1.7398125E-07,-0.000133891197037883,
,,,-1.7338125E-07,0,
,,,-1.7278125E-07,-0.000133891197037883,
,,,-1.7218125E-07,-0.000133891197037883,
,,,-1.7158125E-07,0.000133891197037883,
,,,-1.7098125E-07,0,
,,,-1.7038125E-07,-0.000133891197037883,
,,,-1.6978125E-07,-0.000267782394075766,
,,,-1.6918125E-07,0,
,,,-1.6858125E-07,-0.000267782394075766,
,,,-1.6798125E-07,-0.000133891197037883,
,,,-1.6738125E-07,0,
,,,-1.6678125E-07,-0.000133891197037883,
,,,-1.6618125E-07,-0.000133891197037883,
,,,-1.6558125E-07,0,
,,,-1.6498125E-07,-0.000267782394075766,
,,,-1.6438125E-07,-0.000133891197037883,
,,,-1.6378125E-07,-0.000133891197037883,
,,,-1.6318125E-07,-0.000133891197037883,
,,,-1.6258125E-07,-0.000267782394075766,
,,,-1.6198125E-07,-0.000133891197037883,
,,,-1.6138125E-07,0,
,,,-1.6078125E-07,-0.000267782394075766,
,,,-1.6018125E-07,-0.000267782394075766,
,,,-1.5958125E-07,-0.000267782394075766,
,,,-1.5898125E-07,-0.000267782394075766,
,,,-1.5838125E-07,-0.000267782394075766,
,,,-1.5778125E-07,-0.000133891197037883,
,,,-1.5718125E-07,-0.000267782394075766,
,,,-1.5658125E-07,-0.000535564788151532,
,,,-1.5598125E-07,-0.000401673591113649,
,,,-1.5538125E-07,-0.000401673591113649,
,,,-1.5478125E-07,-0.000401673591113649,
,,,-1.5418125E-07,-0.000401673591113649,
,,,-1.5358125E-07,-0.000401673591113649,
,,,-1.5298125E-07,-0.000267782394075766,
,,,-1.5238125E-07,-0.000267782394075766,
,,,-1.5178125E-07,-0.000133891197037883,
,,,-1.5118125E-07,-0.000133891197037883,
,,,-1.5058125E-07,-0.000267782394075766,
,,,-1.4998125E-07,-0.000267782394075766,
,,,-1.4938125E-07,-0.000133891197037883,
,,,-1.4878125E-07,-0.000133891197037883,
,,,-1.4818125E-07,-0.000133891197037883,
,,,-1.4758125E-07,-0.000133891197037883,
,,,-1.4698125E-07,-0.000267782394075766,
,,,-1.4638125E-07,-0.000267782394075766,
,,,-1.4578125E-07,-0.000133891197037883,
,,,-1.4518125E-07,-0.000133891197037883,
,,,-1.4458125E-07,-0.000133891197037883,
,,,-1.4398125E-07,-0.000267782394075766,
,,,-1.4338125E-07,-0.000133891197037883,
,,,-1.4278125E-07,-0.000133891197037883,
,,,-1.4218125E-07,-0.000267782394075766,
,,,-1.4158125E-07,-0.000267782394075766,
,,,-1.4098125E-07,-0.000267782394075766,
,,,-1.4038125E-07,-0.000133891197037883,
,,,-1.3978125E-07,-0.000133891197037883,
,,,-1.3918125E-07,-0.000267782394075766,
,,,-1.3858125E-07,-0.000267782394075766,
,,,-1.3798125E-07,-0.000267782394075766,
,,,-1.3738125E-07,-0.000401673591113649,
,,,-1.3678125E-07,-0.000401673591113649,
,,,-1.3618125E-07,-0.000133891197037883,
,,,-1.3558125E-07,-0.000133891197037883,
,,,-1.3498125E-07,-0.000133891197037883,
,,,-1.3438125E-07,-0.000267782394075766,
,,,-1.3378125E-07,-0.000133891197037883,
,,,-1.3318125E-07,-0.000133891197037883,
,,,-1.3258125E-07,-0.000267782394075766,
,,,-1.3198125E-07,-0.000133891197037883,
,,,-1.3138125E-07,-0.000401673591113649,
,,,-1.3078125E-07,-0.000133891197037883,
,,,-1.3018125E-07,-0.000267782394075766,
,,,-1.2958125E-07,-0.000133891197037883,
,,,-1.2898125E-07,0,
,,,-1.2838125E-07,-0.000133891197037883,
,,,-1.2778125E-07,-0.000267782394075766,
,,,-1.2718125E-07,0,
,,,-1.2658125E-07,-0.000133891197037883,
,,,-1.2598125E-07,0,
,,,-1.2538125E-07,-0.000133891197037883,
,,,-1.2478125E-07,-0.000267782394075766,
,,,-1.2418125E-07,-0.000133891197037883,
,,,-1.2358125E-07,-0.000133891197037883,
,,,-1.2298125E-07,-0.000133891197037883,
,,,-1.2238125E-07,-0.000267782394075766,
,,,-1.2178125E-07,-0.000267782394075766,
,,,-1.2118125E-07,-0.000267782394075766,
,,,-1.2058125E-07,-0.000133891197037883,
,,,-1.1998125E-07,-0.000133891197037883,
,,,-1.1938125E-07,0,
,,,-1.1878125E-07,-0.000133891197037883,
,,,-1.1818125E-07,-0.000133891197037883,
,,,-1.1758125E-07,-0.000267782394075766,
,,,-1.1698125E-07,-0.000267782394075766,
,,,-1.1638125E-07,-0.000267782394075766,
,,,-1.1578125E-07,-0.000267782394075766,
,,,-1.1518125E-07,-0.000133891197037883,
,,,-1.1458125E-07,-0.000267782394075766,
,,,-1.1398125E-07,-0.000133891197037883,
,,,-1.1338125E-07,-0.000267782394075766,
,,,-1.1278125E-07,-0.000267782394075766,
,,,-1.1218125E-07,-0.000267782394075766,
,,,-1.1158125E-07,-0.000267782394075766,
,,,-1.1098125E-07,-0.000267782394075766,
,,,-1.1038125E-07,-0.000267782394075766,
,,,-1.0978125E-07,-0.000267782394075766,
,,,-1.0918125E-07,-0.000267782394075766,
,,,-1.0858125E-07,-0.000267782394075766,
,,,-1.0798125E-07,-0.000267782394075766,
,,,-1.0738125E-07,-0.000133891197037883,
,,,-1.0678125E-07,-0.000133891197037883,
,,,-1.0618125E-07,-0.000133891197037883,
,,,-1.0558125E-07,-0.000133891197037883,
,,,-1.0498125E-07,-0.000133891197037883,
,,,-1.0438125E-07,-0.000267782394075766,
,,,-1.0378125E-07,-0.000267782394075766,
,,,-1.0318125E-07,-0.000267782394075766,
,,,-1.0258125E-07,-0.000401673591113649,
,,,-1.0198125E-07,-0.000401673591113649,
,,,-1.0138125E-07,-0.000133891197037883,
,,,-1.0078125E-07,-0.000267782394075766,
,,,-1.0018125E-07,-0.000133891197037883,
,,,-9.958125E-08,-0.000133891197037883,
,,,-9.898125E-08,-0.000267782394075766,
,,,-9.838125E-08,-0.000401673591113649,
,,,-9.778125E-08,-0.000267782394075766,
,,,-9.718125E-08,-0.000267782394075766,
,,,-9.658125E-08,-0.000267782394075766,
,,,-9.598125E-08,-0.000267782394075766,
,,,-9.538125E-08,-0.000401673591113649,
,,,-9.478125E-08,-0.000401673591113649,
,,,-9.418125E-08,-0.000401673591113649,
,,,-9.358125E-08,-0.000133891197037883,
,,,-9.298125E-08,-0.000267782394075766,
,,,-9.238125E-08,-0.000133891197037883,
,,,-9.178125E-08,-0.000267782394075766,
