Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),X at Max Y(1),X at Max Y(4)
,,,2022-08-01 16:17:04.524,4.39E-09,5.41E-09
,,,2022-08-01 16:17:05.024,4.21E-09,4.24E-09
,,,2022-08-01 16:17:05.523,4.81E-09,4.76E-09
,,,2022-08-01 16:17:06.023,4.29E-09,4.64E-09
,,,2022-08-01 16:17:06.524,3.69E-09,5.09E-09
,,,2022-08-01 16:17:07.023,4.84E-09,4.16E-09
,,,2022-08-01 16:17:07.525,3.96E-09,4.16E-09
,,,2022-08-01 16:17:08.024,4.59E-09,4.56E-09
,,,2022-08-01 16:17:08.524,4.66E-09,5.86E-09
,,,2022-08-01 16:17:09.023,4.11E-09,3.39E-09
,,,2022-08-01 16:17:09.524,5.56E-09,3.56E-09
,,,2022-08-01 16:17:10.024,4.54E-09,4.89E-09
,,,2022-08-01 16:17:10.525,4.24E-09,4.09E-09
,,,2022-08-01 16:17:11.023,4.14E-09,4.89E-09
,,,2022-08-01 16:17:11.524,5.24E-09,5.44E-09
,,,2022-08-01 16:17:12.024,4.84E-09,4.46E-09
,,,2022-08-01 16:17:12.524,4.69E-09,4.96E-09
,,,2022-08-01 16:17:13.023,5.49E-09,3.06E-09
,,,2022-08-01 16:17:13.524,4.64E-09,4.29E-09
,,,2022-08-01 16:17:14.025,5.11E-09,4.56E-09
,,,2022-08-01 16:17:14.523,3.84E-09,4.56E-09
,,,2022-08-01 16:17:15.024,4.76E-09,4.56E-09
,,,2022-08-01 16:17:15.524,4.66E-09,4.36E-09
,,,2022-08-01 16:17:16.024,4.41E-09,4.79E-09
,,,2022-08-01 16:17:16.522,5.16E-09,5.36E-09
,,,2022-08-01 16:17:17.023,4.36E-09,4.46E-09
,,,2022-08-01 16:17:17.524,4.31E-09,4.24E-09
,,,2022-08-01 16:17:18.024,4.49E-09,5.46E-09
,,,2022-08-01 16:17:18.524,3.94E-09,5.31E-09
,,,2022-08-01 16:17:19.024,4.21E-09,4.11E-09
,,,2022-08-01 16:17:19.522,4.21E-09,5.79E-09
,,,2022-08-01 16:17:20.023,4.36E-09,3.61E-09
,,,2022-08-01 16:17:20.523,4.61E-09,5.84E-09
,,,2022-08-01 16:17:21.024,4.21E-09,6.11E-09
,,,2022-08-01 16:17:21.522,4.36E-09,4.21E-09
,,,2022-08-01 16:17:22.023,5.11E-09,5.06E-09
,,,2022-08-01 16:17:22.524,4.41E-09,4.71E-09
,,,2022-08-01 16:17:23.023,4.21E-09,5.34E-09
,,,2022-08-01 16:17:23.523,4.39E-09,4.44E-09
,,,2022-08-01 16:17:24.024,4.56E-09,5.46E-09
,,,2022-08-01 16:17:24.524,4.04E-09,5.21E-09
,,,2022-08-01 16:17:25.024,4.89E-09,4.01E-09
,,,2022-08-01 16:17:25.523,4.09E-09,4.51E-09
,,,2022-08-01 16:17:26.023,5.16E-09,4.74E-09
,,,2022-08-01 16:17:26.523,4.29E-09,4.41E-09
,,,2022-08-01 16:17:27.024,4.14E-09,5.61E-09
,,,2022-08-01 16:17:27.524,4.14E-09,5.54E-09
,,,2022-08-01 16:17:28.024,4.54E-09,5.34E-09
,,,2022-08-01 16:17:28.523,3.61E-09,4.11E-09
,,,2022-08-01 16:17:29.023,4.59E-09,5.56E-09
,,,2022-08-01 16:17:29.524,4.44E-09,4.34E-09
,,,2022-08-01 16:17:30.023,4.19E-09,5.59E-09
,,,2022-08-01 16:17:30.523,4.86E-09,4.91E-09
,,,2022-08-01 16:17:31.025,4.79E-09,5.19E-09
,,,2022-08-01 16:17:31.524,3.84E-09,4.71E-09
,,,2022-08-01 16:17:32.025,4.94E-09,4.86E-09
,,,2022-08-01 16:17:32.524,4.06E-09,4.71E-09
,,,2022-08-01 16:17:33.025,3.99E-09,5.36E-09
,,,2022-08-01 16:17:33.523,4.64E-09,5.11E-09
,,,2022-08-01 16:17:34.023,4.21E-09,6.41E-09
,,,2022-08-01 16:17:34.523,4.86E-09,4.64E-09
,,,2022-08-01 16:17:35.022,4.71E-09,4.91E-09
,,,2022-08-01 16:17:35.522,4.81E-09,4.16E-09
,,,2022-08-01 16:17:36.024,3.89E-09,4.21E-09
,,,2022-08-01 16:17:36.524,3.91E-09,4.36E-09
,,,2022-08-01 16:17:37.024,4.71E-09,3.36E-09
,,,2022-08-01 16:17:37.525,5.66E-09,5.11E-09
,,,2022-08-01 16:17:38.022,3.74E-09,4.96E-09
,,,2022-08-01 16:17:38.523,4.51E-09,5.46E-09
,,,2022-08-01 16:17:39.024,4.24E-09,4.46E-09
,,,2022-08-01 16:17:39.524,3.51E-09,4.99E-09
,,,2022-08-01 16:17:40.024,4.76E-09,4.19E-09
,,,2022-08-01 16:17:40.523,4.06E-09,4.54E-09
,,,2022-08-01 16:17:41.024,4.46E-09,5.34E-09
,,,2022-08-01 16:17:41.524,5.36E-09,5.69E-09
,,,2022-08-01 16:17:42.023,5.16E-09,5.19E-09
,,,2022-08-01 16:17:42.523,4.21E-09,5.99E-09
,,,2022-08-01 16:17:43.023,4.41E-09,3.94E-09
,,,2022-08-01 16:17:43.524,4.36E-09,4.44E-09
,,,2022-08-01 16:17:44.024,3.86E-09,4.91E-09
,,,2022-08-01 16:17:44.523,5.11E-09,5.06E-09
,,,2022-08-01 16:17:45.024,5.24E-09,5.01E-09
,,,2022-08-01 16:17:45.525,4.16E-09,5.26E-09
,,,2022-08-01 16:17:46.024,5.06E-09,5.49E-09
,,,2022-08-01 16:17:46.524,4.04E-09,4.99E-09
,,,2022-08-01 16:17:47.024,4.16E-09,4.99E-09
,,,2022-08-01 16:17:47.523,4.96E-09,4.99E-09
,,,2022-08-01 16:17:48.023,5.51E-09,4.56E-09
,,,2022-08-01 16:17:48.523,4.14E-09,4.61E-09
,,,2022-08-01 16:17:49.024,3.89E-09,4.19E-09
,,,2022-08-01 16:17:49.523,3.99E-09,5.01E-09
,,,2022-08-01 16:17:50.023,3.99E-09,3.89E-09
,,,2022-08-01 16:17:50.523,4.44E-09,5.04E-09
,,,2022-08-01 16:17:51.024,3.74E-09,4.14E-09
,,,2022-08-01 16:17:51.524,4.69E-09,4.24E-09
,,,2022-08-01 16:17:52.024,4.49E-09,4.94E-09
,,,2022-08-01 16:17:52.524,4.76E-09,5.09E-09
,,,2022-08-01 16:17:53.023,5.09E-09,4.14E-09
,,,2022-08-01 16:17:53.523,4.09E-09,4.94E-09
,,,2022-08-01 16:17:54.023,3.61E-09,3.71E-09
,,,2022-08-01 16:17:54.524,4.44E-09,4.66E-09
,,,2022-08-01 16:17:55.023,3.76E-09,4.56E-09
