Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Analog Channels,,,
Model:,MSO-X 4154A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY60101365,,-1.5E-08,-0.000177824273123406,-8.54602549225092E-05,
Firmware Version:,07.31.2020012900,,-1.4921875E-08,0.000115062764962204,-0.000179602517164312,
Start Time:,2022-09-16 12:15:40.355,,-1.484375E-08,0.000387029300327413,-0.000284205030766316,
Capture#:,61,,-1.4765625E-08,0.000397489551687613,-0.000273744779406115,
,,,-1.46875E-08,0.00030334728944581,-0.000252824276685715,
,,,-1.4609375E-08,0.000240585781284608,-0.000242364025325514,
,,,-1.453125E-08,0.000355648546246812,-0.000305125533486716,
,,,-1.4453125E-08,0.000700836841133423,-0.000441108801169321,
,,,-1.4375E-08,0.000930962371057831,-0.000462029303889722,
,,,-1.4296875E-08,0.000972803376498632,-0.000357426790287718,
,,,-1.421875E-08,0.000774058600654826,-0.00011684100900311,
,,,-1.4140625E-08,0.000407949803047813,0.000165585777722299,
,,,-1.40625E-08,0.000125523016322404,0.000291108794044703,
,,,-1.3984375E-08,-1.04602513602003E-05,0.000259728039964102,
,,,-1.390625E-08,0,0.000134205023641698,
,,,-1.3828125E-08,0.000104602513602003,1.91422586794943E-05,
,,,-1.375E-08,0.000219665278564207,1.91422586794943E-05,
,,,-1.3671875E-08,0.000230125529924408,0.000102824269561097,
,,,-1.359375E-08,0.000156903770403005,0.0001865062804427,
,,,-1.3515625E-08,3.1380754080601E-05,0.000259728039964102,
,,,-1.34375E-08,-8.36820108816028E-05,0.000312029296765104,
,,,-1.3359375E-08,-2.09205027204007E-05,0.000427092061727308,
,,,-1.328125E-08,0.000125523016322404,0.000521234323969111,
,,,-1.3203125E-08,0.00029288703808561,0.00050031382124871,
,,,-1.3125E-08,0.000407949803047813,0.000353870302205905,
,,,-1.3046875E-08,0.000407949803047813,9.23640182008967E-05,
,,,-1.296875E-08,0.000334728043526411,-4.36192494817078E-05,
,,,-1.2890625E-08,0.000282426786725409,2.96025100396946E-05,
,,,-1.28125E-08,0.000261506284005009,0.000249267788603902,
,,,-1.2734375E-08,0.00030334728944581,0.00048985356988851,
,,,-1.265625E-08,0.000366108797607012,0.000448012564447708,
,,,-1.2578125E-08,0.000387029300327413,0.000238807537243702,
,,,-1.25E-08,0.000355648546246812,2.96025100396946E-05,
,,,-1.2421875E-08,0.000261506284005009,-4.36192494817078E-05,
,,,-1.234375E-08,0.000125523016322404,0.000113284520921297,
,,,-1.2265625E-08,6.27615081612021E-05,0.000312029296765104,
,,,-1.21875E-08,9.41422622418031E-05,0.000374790804926306,
,,,-1.2109375E-08,0.000240585781284608,0.000280648542684503,
,,,-1.203125E-08,0.000449790808488615,0.000102824269561097,
,,,-1.1953125E-08,0.000575313824811019,8.68200731929392E-06,
,,,-1.1875E-08,0.000564853573450819,4.0062761399895E-05,
,,,-1.1796875E-08,0.000449790808488615,0.000113284520921297,
,,,-1.171875E-08,0.000271966535365209,0.0001969665318029,
,,,-1.1640625E-08,0.000135983267682604,0.000238807537243702,
