Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
,,,2022-10-07 15:08:38.921,0.0019
,,,2022-10-07 15:08:39.421,0.0153
,,,2022-10-07 15:08:39.922,0.015
,,,2022-10-07 15:08:40.422,0.015
,,,2022-10-07 15:08:40.922,0.0143
,,,2022-10-07 15:08:41.423,0.013
,,,2022-10-07 15:08:41.921,0.0147
,,,2022-10-07 15:08:42.421,0.014
,,,2022-10-07 15:08:42.921,0.0137
,,,2022-10-07 15:08:43.421,0.0137
,,,2022-10-07 15:08:43.920,0.013
,,,2022-10-07 15:08:44.421,0.013
,,,2022-10-07 15:08:44.921,0.0023
,,,2022-10-07 15:08:45.421,0.0153
,,,2022-10-07 15:08:45.921,0.013
,,,2022-10-07 15:08:46.422,0.0173
,,,2022-10-07 15:08:46.921,0.0133
,,,2022-10-07 15:08:47.421,0.014
,,,2022-10-07 15:08:47.922,0.013
,,,2022-10-07 15:08:48.421,0.0143
,,,2022-10-07 15:08:48.921,0.0143
,,,2022-10-07 15:08:49.422,0.014
,,,2022-10-07 15:08:49.922,0.0143
,,,2022-10-07 15:08:50.423,0.0143
,,,2022-10-07 15:08:50.923,0.0153
,,,2022-10-07 15:08:51.424,0.014
,,,2022-10-07 15:08:51.922,0.0137
,,,2022-10-07 15:08:52.423,0.013
,,,2022-10-07 15:08:52.921,0.014
,,,2022-10-07 15:08:53.422,0.0019
,,,2022-10-07 15:08:53.923,0.014
,,,2022-10-07 15:08:54.422,0.015
,,,2022-10-07 15:08:54.924,0.0147
,,,2022-10-07 15:08:55.422,0.0143
,,,2022-10-07 15:08:55.923,0.0157
,,,2022-10-07 15:08:56.422,0.014
,,,2022-10-07 15:08:56.922,0.0143
,,,2022-10-07 15:08:57.421,0.014
,,,2022-10-07 15:08:57.921,0.0153
,,,2022-10-07 15:08:58.421,0.0137
,,,2022-10-07 15:08:58.922,0.013
,,,2022-10-07 15:08:59.422,0.013
,,,2022-10-07 15:08:59.922,0.0157
,,,2022-10-07 15:09:00.422,0.0019
,,,2022-10-07 15:09:00.922,0.014
,,,2022-10-07 15:09:01.422,0.0143
,,,2022-10-07 15:09:01.921,0.0143
,,,2022-10-07 15:09:02.421,0.015
,,,2022-10-07 15:09:02.922,0.016
,,,2022-10-07 15:09:03.422,0.0133
,,,2022-10-07 15:09:03.922,0.014
,,,2022-10-07 15:09:04.422,0.0137
,,,2022-10-07 15:09:04.921,0.018
,,,2022-10-07 15:09:05.421,0.0133
,,,2022-10-07 15:09:05.923,0.0137
,,,2022-10-07 15:09:06.422,0.0137
,,,2022-10-07 15:09:06.921,0.0147
,,,2022-10-07 15:09:07.422,0.0133
,,,2022-10-07 15:09:07.921,0.0147
,,,2022-10-07 15:09:08.421,0.0143
,,,2022-10-07 15:09:08.921,0.013
,,,2022-10-07 15:09:09.421,0.013
,,,2022-10-07 15:09:09.921,0.015
,,,2022-10-07 15:09:10.423,0.015
,,,2022-10-07 15:09:10.921,0.014
,,,2022-10-07 15:09:11.421,0.0157
,,,2022-10-07 15:09:11.922,0.015
